published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-02-23,133,136,132,135,1.5,2680,0,0
2011-02-24,135,136,134,136,0.74,611,0,0
2011-02-27,136,136,134,135,-0.74,2220,0,0
2011-02-28,135,134,128,132,-2.22,1492,0,0
2011-03-03,132,136,133,136,3.03,376,0,0
2011-03-07,136,137,130,137,0.74,4630,0,0
2011-03-09,137,137,135,135,-1.46,1910,0,0
2011-03-10,135,139,134,134,-0.74,2252,0,0
2011-03-13,134,137,135,136,1.49,2767,0,0
2011-03-14,136,137,133,135,-0.74,3970,0,0
2011-03-15,135,135,128,130,-3.7,5050,0,0
2011-03-16,130,132,128,130,0,3052,0,0
2011-03-17,130,133,126,132,1.54,4051,0,0
2011-03-20,132,134,131,133,0.76,1507,198979,0
2011-03-24,135,136,129,133,0,3116,415035,0
2011-03-25,133,135,132,135,1.5,2560,342820,0
2011-03-27,135,135,134,134,-0.74,2110,284040,0
2011-03-28,134,134,130,130,-2.99,1288,169336,0
2011-03-29,130,129,127,127,-2.31,1390,178760,0
2011-03-30,127,129,125,129,1.57,1261,161332,0
2011-03-31,129,134,127,132,2.33,1475,191490,0
2011-04-04,132,132,126,131,-0.76,2927,378740,0
2011-04-05,131,130,126,128,-2.29,1828,236055,0
2011-04-06,128,131,125,131,2.34,5221,672814,0
2011-04-07,131,130,126,128,-2.29,825,105890,0
2011-04-10,128,128,126,128,0,1531,194797,0
2011-04-11,128,129,126,128,0,3030,388690,0
2011-04-13,128,127,127,127,-0.78,60,7620,0
2011-04-17,127,127,125,125,-1.57,1650,207460,0
2011-04-18,125,126,121,122,-2.4,2651,329486,0
2011-04-19,122,128,120,126,3.28,866,107182,0
2011-04-20,126,128,125,126,0,3022,381832,0
2011-04-21,126,128,123,124,-1.59,2040,255070,0
2011-04-25,124,124,122,122,-1.61,3265,403300,0
2011-04-26,122,122,122,122,0,70,8540,0
2011-04-27,122,125,119,121,-0.82,3367,406887,0
2011-04-28,121,125,122,124,2.48,2299,283012,0
2011-05-02,124,123,119,123,-0.81,2030,245810,0
2011-05-03,123,127,123,127,3.25,1120,140240,0
2011-05-04,127,127,124,126,-0.79,2484,312736,0
2011-05-05,126,126,124,125,-0.79,931,116584,0
2011-05-08,125,131,121,124,-0.8,4485,563061,0
2011-05-09,124,124,122,124,0,840,102720,0
2011-05-10,124,126,124,125,0.81,1013,126395,0
2011-05-11,125,129,126,129,3.2,400,50780,0
2011-05-12,129,131,127,130,0.78,741,95643,0
2011-05-15,130,132,130,131,0.77,3412,448352,0
2011-05-16,131,138,130,138,5.34,3382,445266,0
2011-05-18,138,136,128,133,-3.62,1703,223392,0
2011-05-19,133,135,127,131,-1.5,2307,304895,0
2011-05-22,131,131,128,131,0,1918,248828,0
2011-05-23,131,133,128,130,-0.76,4281,560579,0
2011-05-24,130,132,128,132,1.54,2801,362950,0
2011-05-25,132,130,128,128,-3.03,690,89350,0
2011-05-26,128,129,128,129,0.78,590,76010,0
2011-05-30,129,132,128,130,0.78,1283,167103,0
2011-05-31,130,132,126,132,1.54,1623,209534,0
2011-06-01,132,131,128,128,-3.03,1013,130927,0
2011-06-02,128,130,128,129,0.78,3753,483975,0
2011-06-05,129,129,126,126,-2.33,930,118940,0
2011-06-06,126,127,122,122,-3.17,816,101444,0
2011-06-07,122,122,118,118,-3.28,2242,268962,0
2011-06-08,118,118,116,118,0,270,31540,0
2011-06-09,118,120,114,120,1.69,1656,190891,0
2011-06-12,120,122,118,120,0,1031,123239,0
2011-06-13,120,121,117,117,-2.5,1601,189667,0
2011-06-14,117,117,115,117,0,640,74480,0
2011-06-15,117,121,115,121,3.42,1069,125961,0
2011-06-16,121,124,121,124,2.48,541,66591,0
2011-06-19,124,130,126,130,4.84,523,66758,0
2011-06-20,124,130,126,130,0,523,66758,0
2011-06-21,134,139,136,136,4.62,632,86886,0
2011-06-23,136,147,138,147,8.09,661,94663,0
2011-06-26,147,151,147,147,0,670,100360,0
2011-06-29,147,140,140,140,-4.76,220,30800,0
2011-07-04,140,138,126,126,-10,2659,348714,0
2011-07-05,126,126,120,126,0,1253,153713,0
2011-07-06,126,127,124,125,-0.79,1475,184107,0
2011-07-07,125,128,124,125,0,953,119940,0
2011-07-10,125,127,125,125,0,1940,244210,0
2011-07-11,125,127,122,127,1.6,2172,267740,0
2011-07-12,127,127,124,127,0,4396,549060,0
2011-07-13,127,133,129,131,3.15,1322,173152,0
2011-07-14,131,133,130,130,-0.76,911,118613,0
2011-07-18,130,132,132,132,1.54,60,7920,0
2011-07-19,132,134,128,132,0,1450,192560,0
2011-07-20,132,134,132,132,0,2761,364712,0
2011-07-21,132,132,129,132,0,1540,201150,0
2011-07-24,132,132,127,130,-1.52,3830,491580,0
2011-07-25,130,129,126,129,-0.77,1130,145160,0
2011-07-26,129,127,125,127,-1.55,400,50240,0
2011-07-27,127,132,125,132,3.94,1932,249358,0
2011-07-28,132,132,128,128,-3.03,1146,149697,0
2011-07-31,128,129,122,125,-2.34,2491,312693,0
2011-08-01,125,126,123,126,0.8,1030,128640,0
2011-08-02,126,126,125,125,-0.79,2112,264385,0
2011-08-03,125,126,123,123,-1.6,1425,177475,0
2011-08-04,123,126,124,126,2.44,110,13740,0
2011-08-07,126,126,123,125,-0.79,685,85519,0
2011-08-08,125,127,124,125,0,2076,259460,0
2011-08-09,125,126,123,123,-1.6,3006,371852,0
2011-08-10,123,125,123,125,1.63,1838,228763,0
2011-08-11,125,125,121,123,-1.6,1547,190621,0
2011-08-15,123,129,121,127,3.25,2387,300965,0
2011-08-16,127,127,125,126,-0.79,827,104729,0
2011-08-17,126,130,126,130,3.17,2452,313314,0
2011-08-18,130,128,127,128,-1.54,772,98506,0
2011-08-22,128,127,127,127,-0.78,1000,127000,0
2011-08-23,127,127,124,127,0,6027,757268,0
2011-08-24,127,127,125,126,-0.79,1351,169857,0
2011-08-25,126,126,122,126,0,1662,205859,0
2011-08-28,126,127,126,126,0,281,35507,0
2011-08-29,126,126,123,124,-1.59,435,54250,0
2011-08-30,124,124,122,122,-1.61,490,60280,0
2011-09-01,122,126,123,125,2.46,1452,180419,0
2011-09-04,125,125,120,125,0,1402,171368,0
2011-09-05,125,123,118,120,-4,2152,259129,0
2011-09-06,120,121,118,121,0.83,3800,457550,0
2011-09-07,121,122,119,120,-0.83,3400,411001,0
2011-09-08,120,121,119,121,0.83,1120,134020,0
2011-09-12,121,121,119,119,-1.65,1934,231304,0
2011-09-13,119,118,114,118,-0.84,1498,174718,0
2011-09-14,118,119,116,117,-0.85,1880,221098,0
2011-09-15,117,120,118,120,2.56,845,101020,0
2011-09-18,120,120,115,116,-3.33,992,116181,0
2011-09-19,116,118,116,117,0.86,403,47168,0
2011-09-20,117,120,118,118,0.85,571,68039,0
2011-09-21,118,117,117,117,-0.85,683,79911,0
2011-09-22,117,120,116,118,0.85,1230,145130,0
2011-09-25,118,120,116,120,1.69,2124,249661,0
2011-09-26,120,120,115,120,0,1155,136110,0
2011-09-27,120,119,118,118,-1.67,1650,195440,0
2011-09-29,118,119,117,118,0,1062,125124,0
2011-10-02,118,117,115,117,-0.85,320,37210,0
2011-10-10,117,120,116,120,2.56,781,92063,0
2011-10-12,120,118,115,118,-1.67,974,113308,0
2011-10-13,118,119,116,118,0,3345,391615,0
2011-10-16,118,119,116,117,-0.85,1400,164296,0
2011-10-17,117,117,115,117,0,1261,147132,0
2011-10-18,117,117,115,116,-0.85,991,115077,0
2011-10-19,116,117,117,117,0.86,820,95940,0
2011-10-20,117,118,114,116,-0.85,956,111213,0
2011-10-23,116,117,115,115,-0.86,1908,221180,0
2011-10-24,115,118,115,116,0.87,1190,138420,0
2011-10-25,116,119,114,119,2.59,1244,146192,0
2011-10-30,119,121,120,120,0.84,9320,1127600,0
2011-10-31,120,119,116,119,-0.83,1262,148740,0
2011-11-02,119,129,121,129,8.4,110,13870,0
2011-11-03,129,135,131,133,3.1,5625,739865,0
2011-11-06,133,131,120,120,-9.77,3883,468994,0
2011-11-08,120,120,117,119,-0.83,2100,247629,0
2011-11-09,119,120,118,118,-0.84,1182,139809,0
2011-11-10,118,119,118,119,0.85,3122,368686,0
2011-11-13,119,120,118,120,0.84,1164,139094,0
2011-11-14,120,122,114,122,1.67,2691,314662,0
2011-11-15,122,121,118,119,-2.46,1157,138490,0
2011-11-16,119,120,118,120,0.84,1400,166860,0
2011-11-17,120,120,118,118,-1.67,734,86866,0
2011-11-20,118,118,115,118,0,2545,297845,0
2011-11-21,118,118,117,118,0,1461,172188,0
2011-11-22,118,118,117,117,-0.85,1141,133767,0
2011-11-23,117,118,117,117,0,410,48010,0
2011-11-24,117,119,114,117,0,1499,175671,0
2011-11-27,117,119,116,119,1.71,2513,295234,0
2011-11-28,119,118,117,118,-0.84,61,7168,0
2011-11-29,160,163,155,156,32.2,2778,445990,0
2011-11-29,160,163,155,156,0,2778,445990,0
2011-11-29,160,163,155,156,0,2778,445990,0
2011-12-05,125,123,121,121,-22.44,20,2440,0
2011-12-06,121,119,119,119,-1.65,30,3570,0
2011-12-07,119,117,114,114,-4.2,5809,668048,0
2011-12-08,114,117,114,117,2.63,3872,445802,0
2011-12-11,117,115,113,115,-1.71,1249,142286,0
2011-12-12,115,115,114,115,0,1087,123949,0
2011-12-13,115,115,113,114,-0.87,2102,238809,0
2011-12-14,114,116,113,114,0,1225,139440,0
2011-12-15,114,115,113,114,0,2866,327977,0
2011-12-18,114,115,112,114,0,651,73614,0
2011-12-19,114,116,113,113,-0.88,1228,141948,0
2011-12-20,113,115,113,113,0,1011,114544,0
2011-12-21,113,116,113,116,2.65,1397,159698,0
2011-12-22,116,116,114,116,0,210,24120,0
2011-12-26,116,114,112,113,-2.59,1702,191866,0
2011-12-27,113,114,113,114,0.88,1405,159578,0
2011-12-28,114,113,113,113,-0.88,250,28250,0
2011-12-29,113,116,112,115,1.77,1699,193297,0
2012-01-01,115,115,113,114,-0.87,1111,125973,0
2012-01-02,114,118,115,118,3.51,551,64227,0
2012-01-03,118,116,114,115,-2.54,490,56130,0
2012-01-04,115,115,113,114,-0.87,3220,369040,0
2012-01-05,114,114,112,113,-0.88,775,87595,0
2012-01-08,113,115,113,114,0.88,3240,369120,0
2012-01-09,114,113,111,111,-2.63,1710,190718,0
2012-01-10,113,114,112,112,0.9,549,62007,0
2012-01-11,112,112,111,112,0,2477,277012,0
2012-01-12,112,112,110,112,0,3102,344864,0
2012-01-16,112,112,111,111,-0.89,1049,116985,0
2012-01-17,111,114,110,113,1.8,866,96445,0
2012-01-18,113,118,114,118,4.42,2190,253740,0
2012-01-19,118,117,115,117,-0.85,411,47745,0
2012-01-22,117,118,115,117,0,4484,522708,0
2012-01-23,117,115,111,112,-4.27,1650,187270,0
2012-01-25,112,114,111,114,1.79,1170,130710,0
2012-01-26,114,114,110,112,-1.75,1060,118750,0
2012-01-29,112,114,111,112,0,4200,473960,0
2012-01-31,112,114,110,110,-1.79,2291,254352,0
2012-02-01,110,113,110,111,0.91,1833,203887,0
2012-02-02,111,113,111,111,0,3946,442100,0
2012-02-05,111,111,109,110,-0.9,1611,176945,0
2012-02-06,110,111,110,111,0.91,992,109391,0
2012-02-07,111,110,107,110,-0.9,2091,227290,0
2012-02-08,110,110,109,110,0,386,42300,0
2012-02-09,110,110,109,109,-0.91,920,100990,0
2012-02-12,109,109,108,109,0,1309,142115,0
2012-02-13,109,111,107,108,-0.92,1992,216906,0
2012-02-14,108,110,107,109,0.93,1961,211790,0
2012-02-15,109,111,110,111,1.83,276,30410,0
2012-02-16,111,109,107,108,-2.7,550,59100,0
2012-02-21,108,109,108,109,0.93,631,68289,0
2012-02-23,109,109,107,109,0,1230,132700,0
2012-02-26,109,109,105,107,-1.83,2747,293109,0
2012-02-27,107,109,107,108,0.93,1285,139322,0
2012-02-28,108,110,107,109,0.93,2204,238530,0
2012-02-29,109,109,108,108,-0.92,1030,111630,0
2012-03-01,108,109,107,108,0,2300,249002,0
2012-03-04,108,109,104,109,0.93,1451,155189,0
2012-03-05,109,109,107,107,-1.83,460,49660,0
2012-03-06,107,107,105,105,-1.87,2124,225526,0
2012-03-11,105,106,105,106,0.95,754,79584,0
2012-03-12,106,107,102,106,0,1022,106572,0
2012-03-13,106,106,104,104,-1.89,1321,137985,0
2012-03-14,104,105,103,103,-0.96,793,82513,0
2012-03-15,103,103,101,103,0,842,85504,0
2012-03-18,103,103,101,103,0,1003,102758,0
2012-03-19,103,105,102,102,-0.97,311,32483,0
2012-03-20,102,103,101,101,-0.98,4107,416910,0
2012-03-21,101,106,101,104,2.97,1257,129261,0
2012-03-25,104,106,102,106,1.92,920,95370,0
2012-03-26,106,107,103,107,0.94,2082,221133,0
2012-03-27,107,105,102,103,-3.74,270,27830,0
2012-03-28,103,106,104,106,2.91,1615,169040,0
2012-03-29,106,108,105,105,-0.94,1395,148120,0
2012-04-01,105,106,105,106,0.95,1762,185480,0
2012-04-02,106,106,104,105,-0.94,1275,133865,0
2012-04-03,105,106,106,106,0.95,680,72080,0
2012-04-04,106,106,105,105,-0.94,3550,376180,0
2012-04-05,105,106,105,106,0.95,680,71490,0
2012-04-08,106,106,105,106,0,1051,111356,0
2012-04-09,106,107,105,106,0,921,97896,0
2012-04-10,106,106,104,106,0,1313,138808,0
2012-04-11,106,110,107,107,0.94,2180,233710,0
2012-04-12,107,114,108,114,6.54,683,75303,0
2012-04-15,114,124,116,123,7.89,2514,301404,0
2012-04-16,123,135,125,135,9.76,833,109229,0
2012-04-17,135,133,130,130,-3.7,1789,235440,0
2012-04-18,130,128,120,124,-4.62,3301,408208,0
2012-04-19,124,128,120,122,-1.61,4668,576322,0
2012-04-22,122,124,122,123,0.82,1560,192010,0
2012-04-24,123,129,125,129,4.88,100,12700,0
2012-04-25,129,135,135,135,4.65,70,9450,0
2012-04-26,135,148,137,148,9.63,8831,1274199,0
2012-04-29,148,159,141,150,1.35,8923,1328959,0
2012-04-30,150,153,135,140,-6.67,5694,813164,0
2012-05-02,140,140,128,128,-8.57,980,129220,0
2012-05-03,128,132,130,132,3.12,241,31510,0
2012-05-07,132,134,134,134,1.52,183,24522,0
2012-05-08,134,142,136,142,5.97,2332,321736,0
2012-05-09,142,148,133,142,0,7062,996321,0
2012-05-10,142,142,129,139,-2.11,11243,1556324,0
2012-05-13,139,137,130,132,-5.04,3133,415883,0
2012-05-14,132,130,121,125,-5.3,5092,635763,0
2012-05-15,125,137,127,137,9.6,696,92212,0
2012-05-16,137,139,139,139,1.46,150,20850,0
2012-05-17,139,147,141,141,1.44,6469,933133,0
2012-05-20,141,142,134,139,-1.42,6548,909268,0
2012-05-21,139,145,138,139,0,3222,451680,0
2012-05-22,139,143,133,143,2.88,8963,1252988,0
2012-05-23,143,141,133,133,-6.99,905,123926,0
2012-05-24,133,143,133,143,7.52,7754,1084486,0
2012-05-27,143,153,140,148,3.5,6836,998739,0
2012-05-29,148,146,134,134,-9.46,3959,531126,0
2012-05-30,134,132,121,121,-9.7,4480,557981,0
2012-05-31,121,128,119,128,5.79,1231,151903,0
2012-06-03,128,140,125,140,9.38,1647,216171,0
2012-06-04,140,141,130,133,-5,3705,505703,0
2012-06-05,133,135,131,133,0,2968,396926,0
2012-06-06,133,131,125,126,-5.26,1331,169046,0
2012-06-07,126,134,122,131,3.97,2120,272620,0
2012-06-10,131,140,133,138,5.34,8139,1121181,0
2012-06-11,138,142,136,140,1.45,4583,639992,0
2012-06-12,140,142,139,140,0,4983,700086,0
2012-06-13,140,146,138,141,0.71,8518,1212358,0
2012-06-14,141,139,133,136,-3.55,1912,261330,0
2012-06-17,136,136,128,134,-1.47,2426,319452,0
2012-06-18,134,133,130,133,-0.75,2589,339342,0
2012-06-19,133,133,131,132,-0.75,1549,205401,0
2012-06-20,132,136,132,134,1.52,1361,181782,0
2012-06-21,134,137,135,136,1.49,1170,159205,0
2012-06-25,136,140,133,140,2.94,1760,240479,0
2012-06-26,140,138,134,136,-2.86,2036,276849,0
2012-06-27,136,140,132,140,2.94,2422,335010,0
2012-06-28,140,142,139,140,0,2876,405460,0
2012-07-01,140,142,140,142,1.43,3643,511666,0
2012-07-02,142,145,140,141,-0.7,3256,461850,0
2012-07-03,141,141,140,141,0,880,123560,0
2012-07-04,141,146,140,146,3.55,3868,552017,0
2012-07-05,146,145,142,145,-0.68,3056,440599,0
2012-07-08,145,148,143,144,-0.69,2338,339189,0
2012-07-09,144,150,144,148,2.78,3893,580402,0
2012-07-10,148,153,148,150,1.35,3747,562915,0
2012-07-11,150,152,148,152,1.33,3631,547862,0
2012-07-12,152,156,149,151,-0.66,3977,603820,0
2012-07-15,151,156,151,156,3.31,1722,264957,0
2012-07-16,156,162,150,162,3.85,12898,2056829,0
2012-07-17,162,175,161,171,5.56,12061,2022192,0
2012-07-18,171,186,170,186,8.77,8985,1579465,0
2012-07-19,186,198,176,198,6.45,21519,3981231,0
2012-07-22,198,200,187,192,-3.03,19689,3862081,0
2012-07-23,192,198,189,190,-1.04,13375,2595472,0
2012-07-24,190,190,181,190,0,7364,1373111,0
2012-07-25,190,187,181,184,-3.16,10548,1941772,0
2012-07-26,184,181,175,177,-3.8,4910,865984,0
2012-07-29,177,174,161,166,-6.21,4932,816039,0
2012-07-30,166,172,163,171,3.01,7450,1264553,0
2012-07-31,171,182,168,176,2.92,4757,830988,0
2012-08-01,176,182,174,180,2.27,6479,1164471,0
2012-08-05,180,184,178,181,0.56,4178,756789,0
2012-08-06,181,183,180,181,0,5741,1041584,0
2012-08-07,181,184,174,176,-2.76,4255,766179,0
2012-08-08,176,179,170,179,1.7,6744,1193276,0
2012-08-12,179,179,167,171,-4.47,3111,526901,0
2012-08-13,171,168,160,168,-1.75,3464,565610,0
2012-08-14,168,168,165,166,-1.19,1990,331980,0
2012-08-15,166,166,161,163,-1.81,4533,745798,0
2012-08-16,163,176,166,170,4.29,5649,963562,0
2012-08-19,170,175,170,173,1.76,5601,963445,0
2012-08-21,173,175,164,166,-4.05,5218,872531,0
2012-08-22,166,167,161,165,-0.6,4219,694872,0
2012-08-23,165,167,162,165,0,3162,518253,0
2012-08-26,165,174,165,173,4.85,10162,1747933,0
2012-08-27,173,177,174,175,1.16,3340,585390,0
2012-08-28,175,180,173,177,1.14,7405,1315960,0
2012-08-29,177,176,173,176,-0.56,6758,1185158,0
2012-08-30,176,173,170,171,-2.84,1905,327625,0
2012-09-02,171,172,170,171,0,2866,489510,0
2012-09-03,171,175,171,171,0,4178,719780,0
2012-09-04,171,170,168,170,-0.58,5642,957458,0
2012-09-05,170,172,170,170,0,2370,403420,0
2012-09-06,170,171,170,170,0,7102,1207410,0
2012-09-09,170,172,170,171,0.59,5013,856792,0
2012-09-10,171,172,166,172,0.58,5097,870547,0
2012-09-11,172,172,170,172,0,1662,284433,0
2012-09-12,172,172,171,171,-0.58,3222,552452,0
2012-09-13,171,173,171,173,1.17,2968,512518,0
2012-09-16,173,175,172,175,1.16,3274,568210,0
2012-09-17,175,177,173,177,1.14,3239,566717,0
2012-09-18,177,183,175,180,1.69,2338,418066,0
2012-09-19,180,182,177,182,1.11,10568,1907189,0
2012-09-20,182,181,179,180,-1.1,8013,1444364,0
2012-09-23,180,182,177,180,0,7991,1441392,0
2012-09-24,180,180,177,177,-1.67,160,28680,0
2012-09-25,177,176,172,175,-1.13,4295,744936,0
2012-09-26,175,177,172,177,1.14,6587,1160788,0
2012-09-30,174,175,173,175,-1.13,5747,1003775,0
2012-10-01,175,176,173,175,0,4962,869140,0
2012-10-01,175,176,173,175,0,4962,869140,0
2012-10-02,175,176,175,175,0,2888,505550,0
2012-10-03,175,176,172,176,0.57,2684,468831,0
2012-10-04,176,177,175,175,-0.57,2620,458704,0
2012-10-07,175,178,175,175,0,3211,567262,0
2012-10-08,175,176,175,175,0,3157,552856,0
2012-10-09,175,176,175,175,0,5229,917062,0
2012-10-10,175,181,175,176,0.57,3367,596925,0
2012-10-11,176,177,175,175,-0.57,7164,1258070,0
2012-10-14,175,178,175,177,1.14,3698,652719,0
2012-10-15,177,177,175,176,-0.56,2449,432540,0
2012-10-17,176,178,178,178,1.14,517,92026,0
2012-10-18,178,179,176,178,0,1405,248955,0
2012-10-30,178,183,176,183,2.81,1294,231559,0
2012-10-31,183,189,180,182,-0.55,2858,530873,0
2012-11-01,182,182,180,182,0,2402,435712,0
2012-11-04,182,190,179,186,2.2,3923,724571,0
2012-11-05,186,191,180,188,1.08,2610,490577,0
2012-11-06,188,190,187,188,0,3708,702020,0
2012-11-07,188,199,184,195,3.72,4246,817138,0
2012-11-08,195,201,194,194,-0.51,3508,694262,0
2012-11-11,194,200,191,194,0,2797,546479,0
2012-11-12,194,196,192,196,1.03,3161,614689,0
2012-11-18,196,209,195,202,3.06,4897,994614,0
2012-11-20,202,210,199,204,0.99,3585,733012,0
2012-11-21,204,208,200,205,0.49,7505,1525135,0
2012-11-22,205,206,200,205,0,12951,2639478,0
2012-11-25,205,216,206,211,2.93,7730,1616875,0
2012-11-26,211,209,203,208,-1.42,6583,1360314,0
2012-11-27,208,209,203,203,-2.4,3234,669924,0
2012-11-28,203,211,200,208,2.46,5510,1140060,0
2012-11-29,208,208,206,207,-0.48,2261,468543,0
2012-12-02,207,207,200,201,-2.9,4800,979797,0
2012-12-03,201,206,200,203,1,4633,940840,0
2012-12-04,203,210,203,204,0.49,3519,724455,0
2012-12-05,204,212,205,208,1.96,5953,1242677,0
2012-12-06,208,208,206,206,-0.96,1830,378272,0
2012-12-09,206,205,200,204,-0.97,5198,1049273,0
2012-12-10,204,202,200,201,-1.47,4919,990072,0
2012-12-11,201,205,201,205,1.99,3414,692828,0
2012-12-12,205,205,201,203,-0.98,4574,930981,0
2012-12-13,203,208,204,208,2.46,3290,677622,0
2012-12-16,208,224,207,215,3.37,5244,1122454,0
2012-12-17,215,220,215,218,1.4,3328,722115,0
2012-12-18,218,216,203,215,-1.38,5273,1109014,0
2012-12-19,215,218,211,216,0.47,8116,1754927,0
2012-12-20,216,218,209,209,-3.24,5727,1225914,0
2012-12-23,209,217,205,213,1.91,7171,1521313,0
2012-12-24,213,230,213,228,7.04,3500,761899,0
2012-12-26,228,240,228,238,4.39,6219,1457520,0
2012-12-27,238,255,231,250,5.04,4877,1180004,0
2012-12-31,250,249,233,240,-4,14630,3535419,0
2013-01-01,240,241,233,238,-0.83,7961,1886847,0
2013-01-02,238,242,233,242,1.68,5628,1338716,0
2013-01-03,242,250,235,246,1.65,10342,2525509,0
2013-01-06,246,245,238,241,-2.03,6384,1537292,0
2013-01-07,241,241,237,241,0,6744,1618316,0
